發病日,居住縣市,居住鄉鎮,確定病例數
2023-08-02,雲林縣,斗六市,1
2023-08-02,高雄市,左營區,1
2023-08-03,台中市,西屯區,1
2023-08-03,台南市,仁德區,1
2023-08-03,台南市,北區,1
2023-08-03,台南市,南區,1
2023-08-03,台南市,安南區,8
2023-08-03,台南市,安平區,1
2023-08-03,台南市,東區,11
2023-08-03,台南市,永康區,18
2023-08-03,嘉義縣,梅山鄉,2
2023-08-03,彰化縣,彰化市,1
2023-08-03,雲林縣,古坑鄉,2
2023-08-03,高雄市,小港區,1
2023-08-03,高雄市,鼓山區,1
2023-08-04,台南市,中西區,2
2023-08-04,台南市,仁德區,4
2023-08-04,台南市,北區,5
2023-08-04,台南市,南區,2
2023-08-04,台南市,安南區,3
2023-08-04,台南市,安平區,1
2023-08-04,台南市,東區,8
2023-08-04,台南市,永康區,16
2023-08-04,屏東縣,萬丹鄉,2
2023-08-04,雲林縣,古坑鄉,2
2023-08-04,高雄市,三民區,1
2023-08-04,高雄市,小港區,1
2023-08-05,台南市,中西區,2
2023-08-05,台南市,仁德區,3
2023-08-05,台南市,北區,1
2023-08-05,台南市,南區,1
2023-08-05,台南市,安南區,8
2023-08-05,台南市,安平區,1
2023-08-05,台南市,東區,18
2023-08-05,台南市,永康區,14
2023-08-05,屏東縣,潮州鎮,1
2023-08-05,屏東縣,萬丹鄉,2
2023-08-05,新竹市,東區,1
2023-08-05,桃園市,桃園區,1
2023-08-05,雲林縣,古坑鄉,1
2023-08-05,雲林縣,斗六市,1
2023-08-05,高雄市,小港區,1
2023-08-05,高雄市,路竹區,1
2023-08-06,台南市,中西區,1
2023-08-06,台南市,北區,4
2023-08-06,台南市,南區,5
2023-08-06,台南市,善化區,1
2023-08-06,台南市,安南區,8
2023-08-06,台南市,安平區,2
2023-08-06,台南市,將軍區,1
2023-08-06,台南市,東區,13
2023-08-06,台南市,歸仁區,1
2023-08-06,台南市,永康區,20
2023-08-06,屏東縣,竹田鄉,1
2023-08-06,屏東縣,萬丹鄉,1
2023-08-06,雲林縣,古坑鄉,3
2023-08-06,雲林縣,斗六市,1
2023-08-06,高雄市,小港區,2
2023-08-07,台南市,仁德區,2
2023-08-07,台南市,北區,6
2023-08-07,台南市,南區,1
2023-08-07,台南市,安南區,12
2023-08-07,台南市,安平區,1
2023-08-07,台南市,東區,24
2023-08-07,台南市,歸仁區,1
2023-08-07,台南市,永康區,14
2023-08-07,台南市,西港區,1
2023-08-07,屏東縣,萬丹鄉,2
2023-08-07,新竹市,北區,1
2023-08-07,雲林縣,古坑鄉,4
2023-08-07,雲林縣,斗六市,1
2023-08-07,高雄市,小港區,2
2023-08-07,高雄市,左營區,2
2023-08-07,高雄市,旗津區,1
2023-08-08,台南市,中西區,2
2023-08-08,台南市,仁德區,3
2023-08-08,台南市,北區,1
2023-08-08,台南市,南區,4
2023-08-08,台南市,安南區,13
2023-08-08,台南市,東區,11
2023-08-08,台南市,歸仁區,1
2023-08-08,台南市,永康區,21
2023-08-08,屏東縣,萬丹鄉,3
2023-08-08,雲林縣,古坑鄉,6
2023-08-08,雲林縣,斗六市,1
2023-08-08,高雄市,旗津區,2
2023-08-09,台南市,中西區,1
2023-08-09,台南市,仁德區,2
2023-08-09,台南市,北區,5
2023-08-09,台南市,南區,1
2023-08-09,台南市,安南區,10
2023-08-09,台南市,安平區,1
2023-08-09,台南市,東區,18
2023-08-09,台南市,歸仁區,1
2023-08-09,台南市,永康區,6
2023-08-09,台南市,關廟區,2
2023-08-09,屏東縣,潮州鎮,1
2023-08-09,屏東縣,萬丹鄉,3
2023-08-09,新北市,深坑區,1
2023-08-09,雲林縣,古坑鄉,6
2023-08-09,雲林縣,林內鄉,1
2023-08-09,高雄市,小港區,1
2023-08-09,高雄市,湖內區,1
2023-08-09,高雄市,鳳山區,1
2023-08-10,台南市,中西區,2
2023-08-10,台南市,仁德區,1
2023-08-10,台南市,北區,5
2023-08-10,台南市,南區,4
2023-08-10,台南市,安南區,9
2023-08-10,台南市,東區,11
2023-08-10,台南市,歸仁區,2
2023-08-10,台南市,永康區,12
2023-08-10,屏東縣,萬丹鄉,1
2023-08-10,雲林縣,古坑鄉,6
2023-08-10,雲林縣,斗六市,1
2023-08-10,高雄市,左營區,1
2023-08-11,台北市,文山區,1
2023-08-11,台南市,七股區,1
2023-08-11,台南市,中西區,2
2023-08-11,台南市,仁德區,3
2023-08-11,台南市,佳里區,1
2023-08-11,台南市,北區,3
2023-08-11,台南市,南區,7
2023-08-11,台南市,安南區,11
2023-08-11,台南市,左鎮區,1
2023-08-11,台南市,東區,20
2023-08-11,台南市,歸仁區,1
2023-08-11,台南市,永康區,18
2023-08-11,新北市,深坑區,1
2023-08-11,雲林縣,古坑鄉,2
2023-08-11,高雄市,小港區,1
2023-08-11,高雄市,左營區,1
2023-08-11,高雄市,梓官區,1
2023-08-12,台中市,大雅區,1
2023-08-12,台南市,中西區,1
2023-08-12,台南市,北區,3
2023-08-12,台南市,南區,5
2023-08-12,台南市,安南區,15
2023-08-12,台南市,安平區,1
2023-08-12,台南市,東區,12
2023-08-12,台南市,永康區,18
