NO,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q111,Q112,Q113,Q114,Q12,Q13,A1,A2,A3,A4,A5,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,H1,H2,I1,I2,I3,J1,J2,J3,K1,K2,K3,K4,³Æµù
15,2,1,1,1,2,4,2,2,4,3,0,0,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
16,1,1,1,1,1,4,2,2,4,3,0,0,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,
17,1,1,1,1,1,4,2,1,2,2,0,0,1,1,2,2,5,5,4,5,5,4,4,5,4,4,5,4,4,5,3,3,3,3,3,3,4,5,2,4,3,3,3,2,2,3,4,4,3,4,
18,2,1,1,1,2,2,2,2,3,4,1,0,1,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,
19,2,1,1,1,3,4,2,1,3,1,1,0,1,0,1,2,2,1,5,4,3,2,2,4,6,5,6,5,3,5,2,2,5,3,1,1,5,2,2,4,2,2,2,1,1,4,4,4,3,4,
20,2,1,1,2,1,3,2,2,2,2,0,1,1,0,1,1,6,6,6,6,6,6,3,6,6,6,6,6,6,6,1,1,1,4,1,1,6,6,4,4,1,1,1,1,1,1,6,6,6,6,
21,1,1,1,1,2,4,3,2,2,1,0,1,1,0,2,1,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,
22,1,1,1,1,2,4,3,2,2,1,1,0,1,0,3,1,5,5,5,5,5,5,3,5,5,4,5,5,3,5,5,5,5,6,4,4,4,2,4,4,4,2,4,3,3,2,5,5,3,3,
23,2,2,1,1,1,4,2,2,1,1,0,0,1,1,2,1,6,6,6,6,6,5,5,5,6,6,6,5,6,6,2,2,2,3,3,3,5,5,4,4,3,2,2,2,2,2,5,5,2,5,
24,1,2,1,1,3,4,2,1,3,2,1,0,0,1,2,2,3,3,4,4,4,4,1,4,3,3,4,3,3,3,5,3,6,4,2,2,2,6,3,3,3,3,3,5,1,1,6,6,3,4,
25,2,1,1,1,2,4,1,2,3,2,0,0,1,1,1,1,5,5,5,5,5,4,4,5,5,5,5,5,5,5,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,4,
