發病日,居住縣市,居住鄉鎮,確定病例數
2014-06-19,高雄市,小港區,1
2014-06-20,高雄市,大寮區,1
2014-06-20,高雄市,小港區,1
2014-06-20,高雄市,鳳山區,1
2014-06-21,高雄市,前鎮區,1
2014-06-21,高雄市,小港區,1
2014-06-21,高雄市,鳳山區,1
2014-06-22,高雄市,前鎮區,1
2014-06-23,高雄市,小港區,2
2014-06-24,高雄市,前鎮區,3
2014-06-24,高雄市,大寮區,1
2014-06-24,高雄市,小港區,1
2014-06-24,高雄市,旗津區,1
2014-06-24,高雄市,鳳山區,1
2014-06-25,高雄市,三民區,1
2014-06-25,高雄市,前鎮區,1
2014-06-25,高雄市,旗津區,1
2014-06-26,高雄市,大寮區,2
2014-06-26,高雄市,小港區,2
2014-06-26,高雄市,新興區,2
2014-06-26,高雄市,苓雅區,1
2014-06-26,高雄市,路竹區,1
2014-06-27,高雄市,前鎮區,1
2014-06-27,高雄市,大寮區,1
2014-06-27,高雄市,小港區,2
2014-06-27,高雄市,新興區,1
2014-06-28,高雄市,前鎮區,1
2014-06-28,高雄市,大寮區,2
2014-06-28,高雄市,小港區,1
2014-06-28,高雄市,新興區,2
2014-06-28,高雄市,鳳山區,1
2014-06-29,高雄市,前鎮區,2
2014-06-29,高雄市,大寮區,3
2014-06-29,高雄市,小港區,1
2014-06-29,高雄市,新興區,1
2014-06-30,高雄市,鳳山區,2
2014-07-01,高雄市,前鎮區,1
2014-07-01,高雄市,大寮區,4
2014-07-01,高雄市,小港區,1
2014-07-01,高雄市,鳳山區,2
2014-07-02,高雄市,三民區,1
2014-07-02,高雄市,大寮區,1
2014-07-02,高雄市,小港區,3
2014-07-02,高雄市,鳳山區,2
2014-07-03,高雄市,大寮區,1
2014-07-03,高雄市,左營區,1
2014-07-03,高雄市,楠梓區,1
2014-07-03,高雄市,苓雅區,1
2014-07-03,高雄市,鳳山區,5
2014-07-04,高雄市,苓雅區,2
2014-07-04,高雄市,鳳山區,2
2014-07-05,高雄市,大寮區,2
2014-07-05,高雄市,小港區,2
2014-07-05,高雄市,苓雅區,1
2014-07-05,高雄市,鳳山區,4
2014-07-06,高雄市,三民區,1
2014-07-06,高雄市,前鎮區,1
2014-07-06,高雄市,小港區,2
2014-07-07,屏東縣,鹽埔鄉,2
2014-07-07,澎湖縣,七美鄉,1
2014-07-07,高雄市,新興區,1
2014-07-07,高雄市,苓雅區,2
2014-07-07,高雄市,鳳山區,7
2014-07-08,高雄市,前鎮區,1
2014-07-08,高雄市,大寮區,1
2014-07-08,高雄市,岡山區,1
2014-07-08,高雄市,新興區,1
2014-07-08,高雄市,鳳山區,4
2014-07-08,高雄市,鼓山區,1
2014-07-09,高雄市,前鎮區,1
2014-07-09,高雄市,新興區,1
2014-07-09,高雄市,鳳山區,2
2014-07-09,高雄市,鼓山區,1
2014-07-10,高雄市,前鎮區,2
2014-07-10,高雄市,大寮區,1
2014-07-10,高雄市,小港區,1
2014-07-10,高雄市,鳳山區,2
2014-07-11,高雄市,前鎮區,1
2014-07-11,高雄市,大寮區,1
2014-07-11,高雄市,小港區,1
2014-07-11,高雄市,鳳山區,1
2014-07-12,屏東縣,屏東市,1
2014-07-12,高雄市,前鎮區,4
2014-07-12,高雄市,小港區,1
2014-07-12,高雄市,鳳山區,3
2014-07-13,高雄市,前鎮區,1
2014-07-13,高雄市,小港區,3
2014-07-13,高雄市,苓雅區,1
2014-07-13,高雄市,鳳山區,2
2014-07-14,高雄市,三民區,1
2014-07-14,高雄市,前鎮區,1
2014-07-14,高雄市,小港區,1
2014-07-14,高雄市,苓雅區,2
2014-07-14,高雄市,鳳山區,7
2014-07-15,高雄市,前鎮區,1
2014-07-15,高雄市,小港區,3
2014-07-15,高雄市,苓雅區,2
2014-07-15,高雄市,鳳山區,3
2014-07-16,高雄市,前鎮區,2
2014-07-16,高雄市,大寮區,1
2014-07-16,高雄市,小港區,3
2014-07-16,高雄市,苓雅區,1
2014-07-16,高雄市,鳥松區,1
2014-07-16,高雄市,鳳山區,4
2014-07-17,高雄市,前金區,1
2014-07-17,高雄市,大寮區,1
2014-07-17,高雄市,小港區,1
2014-07-17,高雄市,苓雅區,2
2014-07-17,高雄市,鳳山區,2
2014-07-17,高雄市,鼓山區,1
2014-07-18,高雄市,三民區,1
2014-07-18,高雄市,前金區,1
2014-07-18,高雄市,小港區,4
2014-07-18,高雄市,左營區,1
2014-07-18,高雄市,楠梓區,1
2014-07-18,高雄市,苓雅區,4
2014-07-18,高雄市,鳳山區,2
2014-07-19,台南市,永康區,1
2014-07-19,新北市,淡水區,1
2014-07-19,高雄市,大寮區,1
2014-07-19,高雄市,苓雅區,2
2014-07-19,高雄市,鳳山區,6
2014-07-20,高雄市,前金區,1
2014-07-20,高雄市,前鎮區,1
2014-07-20,高雄市,大寮區,1
2014-07-20,高雄市,小港區,6
2014-07-20,高雄市,苓雅區,1
2014-07-20,高雄市,鳳山區,4
2014-07-21,澎湖縣,湖西鄉,1
2014-07-21,高雄市,前金區,1
2014-07-21,高雄市,前鎮區,1
2014-07-21,高雄市,大寮區,2
2014-07-21,高雄市,大樹區,1
2014-07-21,高雄市,小港區,5
2014-07-21,高雄市,新興區,1
2014-07-21,高雄市,苓雅區,3
2014-07-21,高雄市,鳳山區,3
2014-07-22,高雄市,前金區,1
2014-07-22,高雄市,小港區,3
2014-07-22,高雄市,左營區,1
2014-07-22,高雄市,鳳山區,4
2014-07-23,高雄市,前鎮區,2
2014-07-23,高雄市,小港區,5
2014-07-23,高雄市,旗山區,1
2014-07-23,高雄市,苓雅區,6
2014-07-23,高雄市,鳳山區,3
2014-07-24,台南市,安南區,1
2014-07-24,高雄市,前金區,1
2014-07-24,高雄市,大寮區,1
2014-07-24,高雄市,小港區,3
2014-07-24,高雄市,左營區,1
2014-07-24,高雄市,新興區,1
2014-07-24,高雄市,苓雅區,5
2014-07-24,高雄市,鳳山區,4
2014-07-24,高雄市,鼓山區,1
2014-07-25,屏東縣,屏東市,1
2014-07-25,高雄市,三民區,1
2014-07-25,高雄市,前金區,1
2014-07-25,高雄市,前鎮區,2
2014-07-25,高雄市,小港區,2
2014-07-25,高雄市,新興區,1
2014-07-25,高雄市,苓雅區,4
2014-07-25,高雄市,鳳山區,2
2014-07-26,屏東縣,新園鄉,1
2014-07-26,高雄市,三民區,2
2014-07-26,高雄市,前鎮區,1
2014-07-26,高雄市,小港區,4
2014-07-26,高雄市,苓雅區,6
2014-07-26,高雄市,鳳山區,1
2014-07-27,新北市,新店區,1
2014-07-27,高雄市,前鎮區,2
2014-07-27,高雄市,小港區,3
2014-07-27,高雄市,新興區,1
2014-07-27,高雄市,苓雅區,2
2014-07-28,高雄市,三民區,1
2014-07-28,高雄市,前金區,1
2014-07-28,高雄市,前鎮區,2
2014-07-28,高雄市,大寮區,1
2014-07-28,高雄市,小港區,13
2014-07-28,高雄市,苓雅區,6
2014-07-28,高雄市,鳳山區,2
2014-07-29,高雄市,前金區,1
2014-07-29,高雄市,前鎮區,1
2014-07-29,高雄市,大寮區,1
2014-07-29,高雄市,小港區,9
2014-07-29,高雄市,新興區,1
2014-07-29,高雄市,苓雅區,5
2014-07-29,高雄市,鳳山區,6
2014-07-30,台南市,南區,1
2014-07-30,高雄市,三民區,1
2014-07-30,高雄市,前鎮區,2
2014-07-30,高雄市,大寮區,1
2014-07-30,高雄市,小港區,9
2014-07-30,高雄市,新興區,1
2014-07-30,高雄市,苓雅區,4
2014-07-30,高雄市,鳳山區,3
2014-07-31,屏東縣,萬巒鄉,1
2014-07-31,高雄市,仁武區,1
2014-07-31,高雄市,前鎮區,2
2014-07-31,高雄市,大寮區,1
2014-07-31,高雄市,小港區,11
2014-07-31,高雄市,新興區,1
2014-07-31,高雄市,苓雅區,14
2014-07-31,高雄市,鳳山區,2
2014-08-01,高雄市,三民區,2
2014-08-01,高雄市,前金區,2
2014-08-01,高雄市,前鎮區,3
2014-08-01,高雄市,小港區,10
2014-08-01,高雄市,楠梓區,1
2014-08-01,高雄市,苓雅區,14
2014-08-01,高雄市,鳳山區,3
2014-08-01,高雄市,鼓山區,2
2014-08-02,台南市,永康區,1
2014-08-02,屏東縣,鹽埔鄉,1
2014-08-02,高雄市,三民區,1
2014-08-02,高雄市,前金區,2
2014-08-02,高雄市,前鎮區,1
2014-08-02,高雄市,大寮區,2
2014-08-02,高雄市,小港區,6
2014-08-02,高雄市,旗山區,1
2014-08-02,高雄市,美濃區,1
2014-08-02,高雄市,苓雅區,9
2014-08-02,高雄市,鳳山區,2
2014-08-02,高雄市,鼓山區,2
2014-08-03,台南市,永康區,1
2014-08-03,高雄市,前鎮區,1
2014-08-03,高雄市,大寮區,1
2014-08-03,高雄市,小港區,6
2014-08-03,高雄市,左營區,2
2014-08-03,高雄市,苓雅區,7
